-------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations
toss_me/1024                    113418190 ns    113396413 ns            6
toss_me/1024                    113875199 ns    113838693 ns            6
toss_me/1024                    113196622 ns    113174220 ns            6
toss_me/1024                    113323476 ns    113279626 ns            6
toss_me/1024                    113628218 ns    113604986 ns            6
toss_me/1024                    112968787 ns    112927149 ns            6
toss_me/1024                    112717967 ns    112688606 ns            6
toss_me/1024                    113200862 ns    113140973 ns            6
toss_me/1024                    112888398 ns    112865418 ns            6
toss_me/1024                    113206472 ns    113157382 ns            6
toss_me/1024                    114376754 ns    114358902 ns            6
toss_me/1024                    113443410 ns    113406347 ns            6
toss_me/1024                    113064322 ns    113019240 ns            6
toss_me/1024                    113563690 ns    113515425 ns            6
toss_me/1024_mean               113352888 ns    113324143 ns           40
toss_me/1024_median             113416038 ns    113390218 ns           40
toss_me/1024_stddev                644891 ns       646835 ns           40
toss_me/2048                    877298868 ns    877030076 ns            1
toss_me/2048                    439959668 ns    439805324 ns            1
toss_me/2048                    436315722 ns    436296513 ns            1
toss_me/2048                    440941200 ns    440878997 ns            1
toss_me/2048                    433187971 ns    433106251 ns            1
toss_me/2048                    435009403 ns    434958323 ns            1
toss_me/2048                    440590073 ns    440567092 ns            1
toss_me/2048                    437033453 ns    436715326 ns            1
toss_me/2048                    440599186 ns    440490307 ns            1
toss_me/2048                    449197105 ns    449023302 ns            1
toss_me/2048                    434964377 ns    434719706 ns            1
toss_me/2048                    445886573 ns    445833950 ns            1
toss_me/2048                    437581632 ns    437547478 ns            1
toss_me/2048                    437288111 ns    437168888 ns            1
toss_me/2048                    441664930 ns    441614205 ns            1
toss_me/2048                    439115453 ns    439093178 ns            1
toss_me/2048                    439217906 ns    439038095 ns            1
toss_me/2048                    439097394 ns    438991688 ns            1
toss_me/2048                    441645622 ns    441479252 ns            1
toss_me/2048                    433529412 ns    433325321 ns            1
toss_me/2048                    438420845 ns    438228707 ns            1
toss_me/2048                    436419635 ns    436311311 ns            1
toss_me/2048                    437924068 ns    437748427 ns            1
toss_me/2048                    435936879 ns    435886233 ns            1
toss_me/2048                    434605076 ns    434540771 ns            1
toss_me/2048                    437013702 ns    436823421 ns            1
toss_me/2048                    442933083 ns    442869240 ns            1
toss_me/2048                    440052777 ns    439924718 ns            1
toss_me/2048                    438777909 ns    438671447 ns            1
toss_me/2048                    429998787 ns    429901629 ns            1
toss_me/2048                    438117124 ns    438019174 ns            1
toss_me/2048                    439796311 ns    439729611 ns            1
toss_me/2048                    439685129 ns    439552258 ns            1
